nome_azienda,categoria,valori,anno,nome
503,Pubblico,17,2022,AZIENDA ULSS N. 3 SERENISSIMA
504,Privato,0,2022,AZIENDA ULSS N. 4 VENETO ORIENTALE
504,Pubblico,6,2022,AZIENDA ULSS N. 4 VENETO ORIENTALE
505,Privato,0,2022,AZIENDA ULSS N. 5 POLESANA
505,Pubblico,5,2022,AZIENDA ULSS N. 5 POLESANA
506,Privato,0,2022,AZIENDA ULSS N. 6 EUGANEA
506,Pubblico,20,2022,AZIENDA ULSS N. 6 EUGANEA
507,Privato,0,2022,AZIENDA ULSS N. 7 PEDEMONTANA
507,Pubblico,6,2022,AZIENDA ULSS N. 7 PEDEMONTANA
508,Privato,2,2022,AZIENDA ULSS N. 8 BERICA
508,Pubblico,6,2022,AZIENDA ULSS N. 8 BERICA
509,Privato,5,2022,AZIENDA ULSS N. 9 SCALIGERA
509,Pubblico,14,2022,AZIENDA ULSS N. 9 SCALIGERA
901,Privato,0,2022,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,Pubblico,0,2022,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,Privato,0,2022,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,Pubblico,0,2022,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
501,Privato,2,2023,AZIENDA ULSS N. 1 DOLOMITI
501,Pubblico,10,2023,AZIENDA ULSS N. 1 DOLOMITI
502,Privato,2,2023,AZIENDA ULSS N. 2 MARCA TREVIGIANA
502,Pubblico,17,2023,AZIENDA ULSS N. 2 MARCA TREVIGIANA
503,Privato,0,2023,AZIENDA ULSS N. 3 SERENISSIMA
503,Pubblico,17,2023,AZIENDA ULSS N. 3 SERENISSIMA
504,Privato,0,2023,AZIENDA ULSS N. 4 VENETO ORIENTALE
504,Pubblico,6,2023,AZIENDA ULSS N. 4 VENETO ORIENTALE
505,Privato,0,2023,AZIENDA ULSS N. 5 POLESANA
505,Pubblico,5,2023,AZIENDA ULSS N. 5 POLESANA
506,Privato,0,2023,AZIENDA ULSS N. 6 EUGANEA
506,Pubblico,20,2023,AZIENDA ULSS N. 6 EUGANEA
507,Privato,0,2023,AZIENDA ULSS N. 7 PEDEMONTANA
507,Pubblico,6,2023,AZIENDA ULSS N. 7 PEDEMONTANA
508,Privato,2,2023,AZIENDA ULSS N. 8 BERICA
508,Pubblico,6,2023,AZIENDA ULSS N. 8 BERICA
509,Privato,5,2023,AZIENDA ULSS N. 9 SCALIGERA
509,Pubblico,14,2023,AZIENDA ULSS N. 9 SCALIGERA
901,Privato,0,2023,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,Pubblico,0,2023,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,Privato,0,2023,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,Pubblico,0,2023,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
